lastUpdated,text,title,url
2020-04-26 09:31:00,"International authority fileFor use of VIAF with Wikipedia, see Wikipedia:Authority control and Wikipedia:VIAF/errors.Virtual International Authority FileScreenshot 2012AcronymVIAFOrganisationOCLCIntroducedAugust 6, 2003 (2003-08-06)Example106965171Websiteviaf.orgThe Virtual International Authority File (VIAF) is an international authority file. It is a joint project of several national libraries and operated by the Online Computer Library Center (OCLC).[1]Contents1History2VIAF clusters3",Virtual International Authority File,https://en.wikipedia.org/wiki/VIAF_(identifier)
2020-05-11 06:42:00,"Python web frameworkFor other uses, see Django (disambiguation).DjangoOriginal author(s)Adrian Holovaty, Simon WillisonDeveloper(s)Django Software FoundationInitial release21 July 2005; 14 years ago (2005-07-21)[1]Stable release3.0.6
   / 4 May 2020; 7 days ago (2020-05-04)[2]RepositoryDjango RepositoryWritten inPythonSize8.6 MB[3]TypeWeb frameworkLicense3-clause BSDWebsitewww.djangoproject.com/ Django (",Django (web framework),https://en.wikipedia.org/wiki/Django_(web_framework)
2020-03-14 19:26:00,"The examples and perspective in this article may not represent a worldwide view of the subject. You may improve this article, discuss the issue on the talk page, or create a new article, as appropriate.  (September 2014) (Learn how and when to remove this template message)Business administrationManagement of a businessAccountingManagement accountingFinancial accountingFinancial auditBusiness entitiesCorporate groupConglomerate (company)Holding companyCooperativeCorporationJoint-stock companyLimited liability company",Supervisory board,https://en.wikipedia.org/wiki/Supervisory_board
2020-05-11 19:03:00,"Not to be confused with ICCU SBN.Unique numeric book identifierInternational Standard Book NumberA 13-digit ISBN, 978-3-16-148410-0, as represented by an EAN-13 bar codeAcronymISBNOrganisationInternational ISBN AgencyIntroduced1970; 50 years ago (1970)No. of digits13 (formerly 10)Check digitWeighted sumExample978-3-16-148410-0Websiteisbn-international.orgThe International Standard Book Number (ISBN) is a numeric commercial bookidentifier which is intended to be unique.[a][b] Publishers purchase ISBNs from an affiliate of the International ISBN Agency.[1]An ISBN is assigned to each separate edition and variation (except reprintings) of a publication. For example, an e-book, a paperback",International Standard Book Number,https://en.wikipedia.org/wiki/ISBN_(identifier)
2020-05-11 09:56:00,"Type of governing body for an organisation""Board room"" and ""board of trustees"" redirect here. For other uses, see supervisory board, board room (disambiguation), and board of trustees (disambiguation).  A meeting of a board of directors of the Leipzig–Dresden Railway Company in 1852A board of directors is a group of people who jointly supervise the activities of an organization, which can be either a for-profit business, nonprofit organization, or a government agency. Such a board's powers, duties, and responsibilities are determined by government regulations (including the jurisdiction's corporations law) and the organization's own constitution and bylaws. These authorities may specify the number of members of the board, how they are to be chosen, and how often they are to meet.
In an organization with voting members, the board is accountable to, and might be subordinate to, the organization's full membership, which usually vote for the members of the board. In a stock corporation, non-executive directors are voted for by the shareholders, with the board having ultimate responsibility for the management of the corporation. The board of directors appoints the chief executive officer of the corporation and sets out the overall strategic direction. In corporations with dispersed ownership, the identification and nomination of directors (that shareholders vote for or against) are often done by the board itself, leading to a high degree of self-perpetuation. In a non-stock corporation with no general voting membership, the board is the supreme governing body of the institution, and its members are sometimes chosen by the board itself.[1][2][3]Contents",Board of directors,https://en.wikipedia.org/wiki/Board_of_directors
2020-04-28 16:24:00,"Executive positionThis article possibly contains original research. Please improve it by verifying the claims made and adding inline citations. Statements consisting only of original research should be removed.  (May 2018) (Learn how and when to remove this template message)A chief operating officer (COO), also called a chief operations officer, is one of the highest-ranking executive positions in an organization, comprising part of the ""C-suite"". The COO is usually the second-in-command at the firm, especially if the highest-ranking executive is the chairman and CEO. The COO is responsible for the daily operation of the company[1] and routinely reports to the highest-ranking executive—usually the chief executive officer (CEO).[2]Contents1Responsibilities and similar titles",Chief operating officer,https://en.wikipedia.org/wiki/Chief_operating_officer
2020-05-13 12:39:00,"Online platform that facilitates the building of social relationsThis article is about the type of service. For the social science theoretical concept of relationships between people, see Social network. For a list of services, see List of social networking websites.A social networking service (also social networking site or social media) is an online platform which people use to build social networks or social relationships with other people who share similar personal or career interests, activities, backgrounds or real-life connections.
Social networking services vary in format and the number of features. They can incorporate a range of new information and communication tools, operating on desktops and on laptops, on mobile devices such as tablet computers and smartphones. They may feature digital photo/video/sharing and diary entries online (blogging).[1]Online community services are sometimes considered social-network services by developers and users, though in a broader sense, a social-network service usually provides an individual-centered service whereas online community services are group-centered. Defined as ""websites that facilitate the building of a network of contacts in order to exchange various types of content online,"" social networking sites provide a space for interaction to continue beyond in person interactions. These computer mediated interactions link members of various networks and may help to both maintain and develop new social and professional relationships [2]Social networking sites allow users to share ideas, digital photos and videos, posts, and to inform others about online or real-world activities and events with people in their network. While in-person social networking – such as gathering in a village market to talk about events – has existed since the earliest development of towns,[3] the web enables people to connect with others who live in different locations, ranging from across a city to across the world. Depending on the social media platform, members may be able to contact any other member. In other cases, members can contact anyone they have a connection to, and subsequently anyone that contact has a connection to, and so on. The success of social networking services can be seen in their dominance in society today, with Facebook having a massive 2.13 billion active monthly users and an average of 1.4 billion daily active users in 2017.[4]LinkedIn, a career-oriented social-networking service, generally requires that a member personally know another member in real life before they contact them online. Some services require members to have a preexisting connection to contact other members.
The main types of social networking services contain category places (such as age or occupation or religion), means to connect with friends (usually with self-description pages), and a recommendation system linked to trust. One can categorize social-network services into four types:[5]",Social networking service,https://en.wikipedia.org/wiki/Social_networking_service
2020-02-18 04:47:00,"American businessBasecamp, LLCTypePrivately held companyFounded1999; 21 years ago (1999)FounderJason FriedCarlos SeguraErnest KimHeadquartersChicago, Illinois, United StatesKey peopleJason FriedDavid Heinemeier HanssonProductsBasecamp, Ruby on Rails, HighriseServicesWeb applicationsNumber of employees51 (2019)[1]Websitewww.basecamp.comBasecamp is a remote software company based in Chicago, Illinois. The firm was co‑founded in 1999 by Jason Fried, Carlos Segura, and Ernest Kim as a ",Basecamp (company),https://en.wikipedia.org/wiki/Basecamp_(company)
2020-03-04 15:17:00,"Corporate title""CFO"" redirects here. For other uses, see CFO (disambiguation).
The chief financial officer (CFO) is the officer of a company that has primary responsibility for managing the company's finances, including financial planning, management of financial risks, record-keeping, and financial reporting. In some sectors, the CFO is also responsible for analysis of data. Some CFOs have the title CFOO for chief financial and operating officer.[1] In the United Kingdom, the typical term for a CFO is finance director (FD). The CFO typically reports to the chief executive officer (CEO) and the board of directors and may additionally have a seat on the board. The CFO supervises the finance unit and is the chief financial spokesperson for the organization. The CFO directly assists the chief operating officer (COO) on all strategic and tactical matters relating to budget management, cost–benefit analysis, forecasting needs, and securing of new funding.
Contents1Qualification2Federal government of the United States3",Chief financial officer,https://en.wikipedia.org/wiki/Chief_financial_officer
2020-05-11 20:57:00,"This article is about people who write computer software. For other uses, see Programmer (disambiguation).For someone who performs coding in the social sciences, see Coding (social sciences).For someone who performs medical coding, see Medical coding.""Coder"" redirects here. For the settlement in Pennsylvania, see Coder, Pennsylvania.Person who writes computer software  Two programmers working on an IBM 704 at NACA, 1954A computer programmer, sometimes called only programmer or more recently a coder (especially in more informal contexts), is a person who creates computer software. The term computer programmer can refer to a specialist in one area of computers, or to a generalist who writes code for many kinds of software.
A programmer's most oft-used computer language (e.g., Assembly, COBOL, C, C++",Programmer,https://en.wikipedia.org/wiki/Programmer
2020-04-17 12:00:00,"

Part of a series onEconomicsIndexOutlineCategoryHistoryBranchesClassificationHistory of economicsSchools of economicsMainstream economicsHeterodox economicsEconomic methodologyEconomic theoryPolitical economyMicroeconomicsMacroeconomicsInternational economicsApplied economicsMathematical economicsEconometrics",Econometrics,https://en.wikipedia.org/wiki/Econometrics
2019-09-04 19:56:00,"  Fuji Speedway mapThe 2014 6 Hours of Fuji was an endurancesports car racing event held at the Fuji Speedway, Oyama, Japan on 10–12 October 2014, and served as the fifth race of the 2014 FIA World Endurance Championship season. Sébastien Buemi and Anthony Davidson won the race driving the No. 8 Toyota TS040 Hybrid car.[1]Contents1Qualifying1.1Qualifying result2Race2.1Race result",2014 6 Hours of Fuji,https://en.wikipedia.org/wiki/2014_6_Hours_of_Fuji
2020-05-12 23:52:00,"Capital city of DenmarkThis article is about the city in Denmark. For other uses, see Copenhagen (disambiguation). For the ship named København, see København (ship).

City and province in Capital, DenmarkCopenhagenKøbenhavnCity and provinceCity of CopenhagenByen KøbenhavnFrom upper left: Christiansborg Palace, Frederik's Church, Tivoli Gardens and NyhavnGreater coat of armsCopenhagenLocation within DenmarkShow map of DenmarkCopenhagenLocation within ScandinaviaShow map of ScandinaviaCopenhagenLocation within EuropeShow map of EuropeCoordinates: 55°40′34″N12°34′06″E﻿ / ﻿55.67611°N 12.56833°E﻿ / 55.67611; 12.56833Coordinates: 55°40′34″N12°34′06″E",Copenhagen,https://en.wikipedia.org/wiki/Copenhagen
2020-05-05 07:39:00,"Scandinavian countryThis article is about the country in Europe. For other uses, see Denmark (disambiguation).""Kingdom of Denmark"" redirects here. For the relationship between Denmark, the Faroe Islands, and Greenland, see Danish Realm.Coordinates: 56°N10°E﻿ / ﻿56°N 10°E﻿ / 56; 10

Kingdom of DenmarkKongeriget Danmark  (Danish)
        
            
            Flag
        
        
            
             Coat of arms
        
    Anthem: Der er et yndigt land(English: ""There is a lovely country"")Kong Christian stod ved højen mast",Denmark,https://en.wikipedia.org/wiki/Denmark
2020-05-11 22:59:00,"""La France"" redirects here. For other uses of ""La France"", see Lafrance. For other uses of ""France"", see France (disambiguation).Country in Western Europe

French RepublicRépublique française (French)
        
            
            Flag
        
        
            
             Emblem
        
    Motto: ""Liberté, égalité, fraternité""""Liberty, Equality, Fraternity""Anthem: ""La Marseillaise""Great Seal:Show globeShow map of EuropeLocation of metropolitan France (dark green)– in Europe (green & dark grey)",France,https://en.wikipedia.org/wiki/France
2019-01-26 04:26:00,"  The Silverstone CircuitThe 2014 6 Hours of Silverstone was an endurancesports car racing event held at the Silverstone Circuit near Silverstone, England on 17–20 April 2014.  The event served as the opening round of the 2014 World Endurance Championship, and overall race winners were awarded the annual Tourist Trophy by the Royal Automobile Club.  Toyota became the first Japanese manufacturer to win Silverstone's endurance race, with Anthony Davidson, Sébastien Buemi, and Nicolas Lapierre leading the team's second TS040 Hybrid to a 1–2 finish.  The race, which had run under mixed weather conditions, was stopped in the final half-hour of competition due to heavy rains and not restarted.[1]Porsche, making their return to the prototype categories with the debuting 919 Hybrid, completed the overall race podium with third place. Accidents ended the race of both Audi R18 e-tron quattro cars after the World Champions had started strongly.[2]  Rebellion Racing's Nicolas Prost",2014 6 Hours of Silverstone,https://en.wikipedia.org/wiki/2014_6_Hours_of_Silverstone
2020-03-22 07:41:00,"

  Map of the Circuit of the AmericasThe 2014 6 Hours of Circuit of the Americas was an endurancesports car racing event held for Le Mans Prototype and Le Mans Grand Touring Endurance cars at the Circuit of the Americas near Austin, Texas on 20 September 2014. It served as the fourth of eight rounds of the 2014 FIA World Endurance Championship and was the second time the race was held as part of the championship. A total of 50,334 spectators attended the event.
The No. 8 Toyota TS040 Hybrid of Sébastien Buemi, Anthony Davidson and Nicolas Lapierre won the pole position with the fastest two-lap average lap time and maintained its start-line advantage until a monsoon fell on the track and stopped the race for 77 minutes. Audi's No. 2 R18 e-tron quattro of Marcel Fässler, André Lotterer and Benoît Tréluyer and Romain Dumas, Neel Jani and Marc Lieb in the No. 14 Porsche 919 Hybrid",2014 6 Hours of Circuit of the Americas,https://en.wikipedia.org/wiki/2014_6_Hours_of_Circuit_of_the_Americas
2019-10-08 04:32:00,"  Layout of the Circuit de Spa-FrancorchampsThe 2019 Total 6 Hours of Spa-Francorchamps was an endurancesports car racing event held at the Circuit de Spa-Francorchamps, Stavelot, Belgium on 2–4 May 2019. Spa-Francorchamps served as the seventh race of the 2018–19 FIA World Endurance Championship, and was the eighth running of the event as part of the championship. The race was won by the #8 Toyota TS050 Hybrid.
Contents1Qualifying1.1Qualifying results2Race2.1Race result3Standings after the race",2019 6 Hours of Spa-Francorchamps,https://en.wikipedia.org/wiki/2019_6_Hours_of_Spa-Francorchamps
2019-01-19 13:43:00,"  The Circuit de Spa-FrancorchampsThe 2014 WEC 6 Hours of Spa-Francorchamps, formally known as the WEC 6 Heures de Spa-Francorchamps, was an endurancesports car racing event held at the Circuit de Spa-Francorchamps, Spa, Belgium on 2–3 May 2014.  Spa-Francorchamps served as the second race of the 2014 FIA World Endurance Championship.  Toyota's Anthony Davidson, Sébastien Buemi, and Nicolas Lapierre led the field to the checkered flag for their second consecutive victory of the season, ahead of Audi and the sister Toyota.  The LMP2 category also had its second consecutive winner with G-Drive Racing ahead of Jota Sport's guest entry in the series.  AF CorseFerrari held off PorscheTeam Manthey in the LMGTE Pro class, while another AF Corse Ferrari won the LMGTE Am category ahead of two Aston Martins.[1]Contents1",2014 6 Hours of Spa-Francorchamps,https://en.wikipedia.org/wiki/2014_6_Hours_of_Spa-Francorchamps
2020-04-28 04:06:00,"For the FIA World Endurance Championship contested from 1981 to 1985, see World Sportscar Championship.Not to be confused with FIM Endurance World Championship or World Enduro Championship.FIA World Endurance ChampionshipCategoryEndurance racingRegionInternationalInaugural season2012Prototype ClassesLMP1, LMP2GT ClassesLMGTE Pro, LMGTE AmTeams22Tyre suppliersMichelin, GoodyearDrivers' championLMP1:Fernando AlonsoSebastien BuemiKazuki NakajimaLMP2:Nicolas LapierrePierre ThirietAndré NegrãoLMGTE:Michael ChristensenKévin Estre",FIA World Endurance Championship,https://en.wikipedia.org/wiki/FIA_World_Endurance_Championship
