lastUpdated,title,url
" 24 April 2020, at 23:22",vCloud Air,https://en.wikipedia.org/wiki/Virtual_Private_Cloud_OnDemand
" 11 January 2020, at 16:36",Azure Search,https://en.wikipedia.org/wiki/Azure_Search
" 16 December 2019, at 07:14",Microsoft Azure SQL Database,https://en.wikipedia.org/wiki/Microsoft_Azure_SQL_Database
" 20 November 2019, at 23:55",Outline of Microsoft,https://en.wikipedia.org/wiki/Outline_of_Microsoft
" 9 December 2019, at 06:07",Volunia,https://en.wikipedia.org/wiki/Volunia
" 7 May 2020, at 06:42",W3Catalog,https://en.wikipedia.org/wiki/W3Catalog
" 9 December 2019, at 06:07",Teoma,https://en.wikipedia.org/wiki/Teoma
" 9 December 2019, at 06:07",Viewzi,https://en.wikipedia.org/wiki/Viewzi
" 9 December 2019, at 06:09",Yebol,https://en.wikipedia.org/wiki/Yebol
" 2 November 2019, at 15:29",Wikiseek,https://en.wikipedia.org/wiki/Wikiseek
" 14 April 2020, at 16:09",Soso (search engine),https://en.wikipedia.org/wiki/Soso_(search_engine)
" 9 December 2019, at 06:07",Vivisimo,https://en.wikipedia.org/wiki/Vivisimo
" 5 May 2020, at 19:37",Inktomi,https://en.wikipedia.org/wiki/Inktomi
" 17 February 2020, at 03:17",Mugurdy,https://en.wikipedia.org/wiki/Mugurdy
" 24 February 2020, at 18:07",LeapFish,https://en.wikipedia.org/wiki/LeapFish
" 9 December 2019, at 06:04",SearchMe,https://en.wikipedia.org/wiki/SearchMe
